Project Metadata
title,sprintDuration,totalDuration,sprintCapacity,projectStartDate
Sample from csv,2,6,10,2023-03-14

Developers
id,name,capacity
0,John,100
1,Jack,90
2,Joe,120
3,Jane,80

Stories
id,title,dependencies,preAssignedDeveloperId,storyPoints,description
0,Registration,,1,3,description
1,Login,0,,3,description
2,Logout,0-1,,2,description
3,Search,1,3,5,description
4,Add to cart,1,,3,description
5,Checkout,4,,6,description
6,Payment,5,,2,description
7,Order confirmation,6,,4,description
8,Order history,6,,3,description
9,Animation,,,8,description
